sample, JetFlavor, TotalNumberJets, LooseEff, MediumEff 
H2Mu_gg, FLAV_B, 73, -1.035575, -0.700401 
H2Mu_gg, FLAV_C, 109, 0.292170, 0.129044 
H2Mu_gg, FLAV_UDSG, 1981, 0.081319, 0.010889 
H2Mu_gg_120, FLAV_B, 251, 0.813176, 0.610015 
H2Mu_gg_120, FLAV_C, 425, 0.348964, 0.056051 
H2Mu_gg_120, FLAV_UDSG, 6957, 0.079997, 0.006268 
H2Mu_gg_130, FLAV_B, 327, 0.735116, 0.496388 
H2Mu_gg_130, FLAV_C, 565, 0.219668, 0.103621 
H2Mu_gg_130, FLAV_UDSG, 8621, 0.083308, 0.009076 
H2Mu_VBF, FLAV_B, 22, 0.763377, 0.469220 
H2Mu_VBF, FLAV_C, 69, 0.190755, 0.099316 
H2Mu_VBF, FLAV_UDSG, 728, -0.002186, 0.006179 
H2Mu_VBF_120, FLAV_B, 14, 0.437859, 0.265028 
H2Mu_VBF_120, FLAV_C, 73, 1.779445, 0.596138 
H2Mu_VBF_120, FLAV_UDSG, 727, 0.076811, 0.013777 
H2Mu_VBF_130, FLAV_B, 18, -0.150578, -1.201875 
H2Mu_VBF_130, FLAV_C, 78, 0.279436, 0.184110 
H2Mu_VBF_130, FLAV_UDSG, 744, 0.050396, 0.009292 
H2Mu_ZH_125, FLAV_B, 870, 0.758216, 0.616692 
H2Mu_ZH_125, FLAV_C, 951, 0.347744, 0.103168 
H2Mu_ZH_125, FLAV_UDSG, 11848, 0.108557, 0.014707 
H2Mu_ZH_120, FLAV_B, 892, 0.758045, 0.627788 
H2Mu_ZH_120, FLAV_C, 926, 0.341119, 0.093451 
H2Mu_ZH_120, FLAV_UDSG, 11822, 0.107748, 0.015499 
H2Mu_ZH_130, FLAV_B, 856, 0.732379, 0.609583 
H2Mu_ZH_130, FLAV_C, 964, 0.335546, 0.098284 
H2Mu_ZH_130, FLAV_UDSG, 12009, 0.104279, 0.013219 
H2Mu_WH_pos_125, FLAV_B, 311, 0.729562, 0.583325 
H2Mu_WH_pos_125, FLAV_C, 1854, 0.327695, 0.100243 
H2Mu_WH_pos_125, FLAV_UDSG, 19300, 0.085502, 0.010460 
H2Mu_WH_pos_120, FLAV_B, 259, 0.761850, 0.628461 
H2Mu_WH_pos_120, FLAV_C, 1732, 0.315135, 0.098904 
H2Mu_WH_pos_120, FLAV_UDSG, 17927, 0.084249, 0.009364 
H2Mu_WH_pos_130, FLAV_B, 0, 0.000000, 0.000000 
H2Mu_WH_pos_130, FLAV_C, 0, 0.000000, 0.000000 
H2Mu_WH_pos_130, FLAV_UDSG, 0, 0.000000, 0.000000 
H2Mu_WH_neg_125, FLAV_B, 275, 0.699643, 0.580937 
H2Mu_WH_neg_125, FLAV_C, 2455, 0.352990, 0.106467 
H2Mu_WH_neg_125, FLAV_UDSG, 19928, 0.085749, 0.009322 
H2Mu_WH_neg_120, FLAV_B, 279, 0.681185, 0.560469 
H2Mu_WH_neg_120, FLAV_C, 2362, 0.351103, 0.103752 
H2Mu_WH_neg_120, FLAV_UDSG, 19439, 0.088946, 0.010187 
H2Mu_WH_neg_130, FLAV_B, 322, 0.727465, 0.568344 
H2Mu_WH_neg_130, FLAV_C, 2541, 0.351158, 0.107295 
H2Mu_WH_neg_130, FLAV_UDSG, 20578, 0.087970, 0.010129 
H2Mu_ttH_120, FLAV_B, 179929, 0.819407, 0.675673 
H2Mu_ttH_120, FLAV_C, 39605, 0.389260, 0.119438 
H2Mu_ttH_120, FLAV_UDSG, 204683, 0.097234, 0.011297 
H2Mu_ttH_125, FLAV_B, 181838, 0.817443, 0.672322 
H2Mu_ttH_125, FLAV_C, 40310, 0.388980, 0.119417 
H2Mu_ttH_125, FLAV_UDSG, 209607, 0.097224, 0.011482 
H2Mu_ttH_130, FLAV_B, 186028, 0.817749, 0.670922 
H2Mu_ttH_130, FLAV_C, 41529, 0.388816, 0.119522 
H2Mu_ttH_130, FLAV_UDSG, 213635, 0.099440, 0.012340 
ZJets, FLAV_B, 0, 0.000000, 0.000000 
ZJets, FLAV_C, 0, 0.000000, 0.000000 
ZJets, FLAV_UDSG, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_B, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_C, 0, 0.000000, 0.000000 
ZJets_hiM, FLAV_UDSG, 0, 0.000000, 0.000000 
ZJets_AMC, FLAV_B, 4474, 0.741040, 0.585093 
ZJets_AMC, FLAV_C, 4826, 0.354632, 0.127434 
ZJets_AMC, FLAV_UDSG, 52356, 0.076805, 0.008770 
ZJets_hiM_MG, FLAV_B, 2979, 0.737859, 0.606094 
ZJets_hiM_MG, FLAV_C, 4633, 0.333278, 0.097394 
ZJets_hiM_MG, FLAV_UDSG, 61394, 0.079115, 0.009286 
